0,3000,3001,3002,3003,3004,4000,8,47,5003,5001,5002,5000,16,12,51,11,50,13,52,1003,1012,1014,1018,1019,1020,1027,1028,1032,2003,2012,2014,2018,2019,2020,2027,2028,2032,1002,1010,1023,1026,2002,2010,2023,2026,1008,1025,1029,1031,2008,2025,2029,2031,1015,1030,2015,2030
35019,121236,17201,84834,45593,67216,242452,48338,52029,50183.5,62296,66685,64490.5,21820,5433,5924,3814,4046,1139,1772,5678,6612,4510,4531,1891,3087,14276,18746,785,5171,6222,4116,3972,2317,3895,14171,19938,1318,803,2901,2711,2309,1977,2392,2618,1490,12140,8459,11003,9157,15396,8435,11140,9104,10995,11664,12515,10419
7721,121420,18003,83063,42296,66195.5,148496,45653,49227,47440,56485,60376,58430.5,21129,5158,5521,4727,4987,1551,1231,5293,8138,5788,4772,2294,3513,12336,18830,733,4515,8077,4941,2946,2322,4228,12727,19200,767,1078,2982,2378,2779,1246,2475,2669,2396,11892,9271,10879,10058,11886,7868,11245,9964,9879,11452,10426,10539
8319,127484,19996,87020,45884,70096,177048,48265,47699,47982,61026,59542,60284,21122,5165,4280,4033,3825,1554,1546,5792,7494,5424,3955,2203,2776,14804,22315,1052,5166,6785,4754,3611,2737,3417,14303,19359,1537,1380,2420,2980,3022,2192,2315,3035,2652,12399,8527,11587,9703,14018,8132,12616,10038,11478,11540,13054,9812
11813,117306,19831,89653,43565,67588.75,202519,47640,54250,50945,62847,69539,66193,20957,5292,5317,2978,4078,1270,1491,5902,7461,4789,3444,1800,2334,12782,18419,1035,4591,7332,4349,3417,2279,3752,14307,18291,1022,2085,2360,3019,3121,2094,2202,3216,1734,10986,9266,13124,10084,13640,9400,13097,10056,10196,11211,11673,10485
12310,113346,18384,80566,43481,63944.25,178505,42335,46267,44301,53658,57598,55628,18503,4898,4792,3220,3266,1333,1478,5130,6581,4347,3982,2331,3298,12913,17948,777,3765,6242,4303,3287,2144,2978,14099,18040,1181,956,2911,2612,2156,2322,1939,3178,2310,10774,8014,9710,9139,13549,7841,12375,9164,10479,11109,11430,10463
13009,124953,20431,94149,42296,70457.25,166654,47504,52212,49858,58921,64159,61540,22118,5847,4997,4144,4069,1673,1735,5843,7079,5550,4296,1698,3033,14710,21335,739,4296,7492,4917,3485,2482,3691,13723,19724,860,1076,2677,3254,2328,2645,2145,3663,2643,11722,9395,13701,11704,14812,8958,12890,10967,9685,12509,10407,9695
13413,105840,15218,77865,37934,59214.25,122257,51782,51890,51836,64198,65133,64665.5,19962,5834,5294,3790,3902,1736,1607,3487,6311,4595,4633,1735,2684,11997,17792,771,3319,5649,4310,3291,1832,3813,11007,17679,935,1562,1981,2738,1682,1415,1908,2229,1703,10339,7287,10502,9533,12422,8352,10682,8748,10444,8954,9920,8616
13716,126544,18377,90467,44277,69916.25,208855,49726,56715,53220.5,63739,70849,67294,22510,6107,5473,4441,4616,1640,1792,5007,6730,4382,5059,2103,3017,15346,20980,650,5653,7004,4325,4277,2278,3273,15401,20107,952,1017,2701,2872,2362,1644,2000,3503,2278,12434,9847,12231,11572,12899,9398,11655,10431,10050,11504,11624,11099
14011,122037,16963,82396,41029,65606.25,188330,54323,55319,54821,69724,70708,70216,21423,5049,4972,3783,3657,1583,1312,5807,7375,4711,4226,2210,3415,13394,20202,774,4145,6610,4662,3733,2714,3753,14090,19191,1025,1320,2248,2661,2563,1635,2258,2502,1776,11984,8209,11227,9668,12816,8746,11454,8292,8269,11125,11417,10218
15114,124116,18673,84487,45278,68138.5,192550,49185,52327,50756,63177,65776,64476.5,21513,6181,5403,3209,3659,2085,1783,5754,7110,5657,3865,2149,2528,14714,19189,937,5486,7546,4947,2224,2198,3241,16405,19028,1138,2777,1817,3788,2663,1177,2663,2344,1444,11598,8919,11232,9671,13688,9098,10970,9311,11246,11732,11503,10797
