0,2,4,5,7,8,10,11,12,13,14,15,16,17,18,24,26,28,29,30,31,41,43,44,46,47,49,50,51,52,53,54,58,60,62,63,72,77,80,85,251,252,253,254,255,1000,1001,1002,1003,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,2000,2001,2002,2003,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,ERODED_SUBCORTICALWM
800,186981,24773,1692,12984,45359,6182,3143,4150,1444,1233,1417,21701,2542,678,1139,291,3401,,60,2174,186600,17686,738,13414,44656,5962,3335,3572,1306,3251,1006,483,3532,43,2962,,3312,33,236,946,343,334,326,737,332,2577,1612,5193,2213,1569,8782,10548,8813,2705,7700,6899,5771,4896,8690,1974,2832,3628,2240,2822,1300,8769,2609,12045,8738,1708,13267,19590,10801,9631,8932,534,3408,945,6908,690,2595,2022,4654,2257,1770,8872,13388,10500,2672,7714,6751,5582,5108,10713,2336,3259,3484,2118,4010,1589,8045,2570,11741,9049,1955,13826,18188,10368,9159,10691,755,2669,851,6515,278208
2037,224278,25650,1848,13144,48416,6044,3465,4647,1702,2755,1913,22123,3082,1012,1586,351,3755,,107,1762,224465,29758,1430,13971,50872,6116,3697,4199,1645,3178,1064,245,3505,103,3468,,4083,56,314,1046,342,396,350,675,323,2271,2034,5203,2479,1217,9172,8789,7396,1896,9136,7179,5434,4012,9911,1665,2779,4456,2072,3029,1803,7978,2501,12212,8049,2175,11127,20148,12660,10373,7524,588,2012,1195,6172,388,1842,2000,4976,3035,1294,6004,10626,6514,2174,9520,6465,6342,3759,9208,1475,2633,3085,1858,2736,2214,6865,2531,11433,7720,2500,13597,18182,11215,9279,9217,917,1161,749,5307,361752
2146,235528,14221,209,11555,49745,7496,3805,4811,1399,1355,2393,21241,4865,1811,1132,483,3561,,48,1747,233181,14399,546,12081,50923,6825,4306,5255,1639,4595,1976,418,3567,54,2700,,2473,25,299,731,312,322,330,682,667,3099,1908,6157,2255,1727,10192,10935,9975,2269,12710,7363,6889,4480,11679,2928,3073,4285,1882,2448,1960,8180,2724,12686,7727,2549,11979,20412,11587,11800,9763,935,2752,1325,6838,551,2415,1643,6273,2796,2143,9884,14326,11553,2041,12367,7268,6252,5002,13552,2326,3760,3863,2357,3628,2039,9561,2876,13001,8831,2064,12663,19740,10988,9907,9264,1133,2404,855,7386,370096
925,192992,56015,1986,9530,42188,6235,5131,5704,1505,2456,2369,18257,3136,866,1971,385,2782,,129,1735,197669,36947,1374,9111,42938,5373,4729,4322,1474,2738,868,330,2752,61,2409,5,12422,64,184,486,260,206,212,265,690,1727,1023,4861,2160,1090,6896,9056,8760,1870,9124,5793,3540,3731,7288,882,2858,2559,1238,2245,1083,7567,2659,9887,5838,1655,11885,14782,9290,8055,7023,1065,1911,977,6129,520,1535,1774,4498,2019,905,5992,11490,8017,1200,8285,5588,3580,4201,8276,1176,3180,2553,1516,2990,1252,5802,2474,9360,6108,2348,12174,13343,8977,6841,7098,1045,1291,577,5496,302287
2045,237566,45744,1568,13691,51545,6668,3817,4668,1417,3319,3205,22040,4051,1815,1271,373,4274,,49,2002,241947,47185,1281,13251,53850,6678,4094,4347,1286,3734,1879,412,3636,124,2535,,8858,80,232,858,369,339,213,722,442,2444,1532,4243,2999,2120,9827,10859,10962,3222,10936,7880,6389,5054,10544,1983,2934,4191,2228,2460,2203,9506,2961,12070,9294,2442,15522,21641,12352,10863,10163,666,2138,1052,5657,523,2024,2376,5820,3136,2062,10835,12192,11364,2193,10713,7711,5431,4822,11430,2476,3795,3333,2346,2576,2416,9061,2915,11652,9725,1989,13801,20249,9844,9795,7436,941,2334,884,5639,367681
200,269828,6989,152,14129,46517,9123,3748,5339,1278,1103,2015,24820,4625,1621,1087,679,3665,,64,1757,272629,8901,197,14786,47416,7641,3633,5912,1691,4686,1836,652,4227,63,2209,,3141,40,403,819,446,443,413,740,406,2416,1349,5105,2027,2078,10724,10456,11746,2912,10666,7550,5080,5477,10150,2271,3133,4804,2035,3436,1395,8102,2961,11325,8398,2634,14710,20819,11082,10934,10179,541,2524,1044,6921,692,2240,3216,6042,2618,1914,9100,14149,11643,2445,9981,7720,5814,5458,10540,2345,3072,3410,2352,3917,2293,8973,2747,12480,8359,2749,13396,20649,11526,10454,7659,876,2182,1017,7484,464220
1418,210500,24167,1174,9502,34676,6068,3434,5256,1322,2372,1739,19752,3078,1282,1295,378,3531,,124,1724,217406,19493,608,9285,42456,5663,3726,4771,1287,3498,1398,377,3287,57,2391,,7671,92,171,861,304,256,216,562,337,2511,2003,4715,2047,1406,9230,11513,10098,2008,9602,7115,3771,4322,8728,1542,3098,4193,2116,2497,1305,6765,2922,11077,8517,2675,11509,18034,10720,8858,8768,579,1755,650,5732,534,2289,2350,4715,2352,1373,7193,15121,9938,1770,7984,6163,5450,4449,9920,1294,3717,3729,2683,3979,1455,6781,3083,10557,8804,1943,12683,19580,11121,9621,7720,916,1553,551,5508,336742
1155,222812,22415,863,13452,49191,6933,4314,6023,1326,1565,1644,21045,4470,1479,1485,677,3802,,129,1889,223650,25487,581,13161,49950,6732,4106,5374,1243,4463,1669,751,3725,209,2401,6,3526,47,256,844,371,358,389,866,419,2276,1366,6219,2452,1756,10535,10555,11549,1875,10019,6465,5203,4645,9958,2054,3041,3940,1619,2902,1726,9052,3376,12718,9023,2550,14241,19428,13167,11899,9564,703,2860,1334,6355,491,1929,1954,4984,2279,1356,9388,16367,10421,2273,10306,6432,5641,4652,11367,1888,3680,2892,2119,3371,1528,7103,3239,12875,8747,2626,13705,19451,11899,11852,10250,741,1720,852,6263,346639
4037,245028,24918,970,16591,51685,6762,3454,4957,1427,1522,1099,23497,3874,1262,1687,353,3942,,74,1978,249884,18549,1029,16543,54627,5995,3611,4628,1456,4163,1609,389,3831,118,2662,,3563,50,230,891,339,401,350,728,466,2122,1492,6109,1989,1886,10195,12202,9371,2159,10243,6752,5147,4629,9048,2752,3021,4406,1797,2303,2090,9085,3336,10970,7670,2927,12897,18952,11441,11424,9201,908,3209,1161,6748,736,1358,1648,4492,1984,2015,8526,15623,11977,1803,9986,6235,5517,4866,10256,2399,3238,3202,2355,3066,1862,8049,3484,10728,8580,1589,13945,18845,11456,9709,7286,974,3357,706,6498,395622
