0,3000,3001,3002,3003,3004,4000,8,47,5003,5001,5002,5000,16,1003,1012,1014,1018,1019,1020,1027,1028,1032,2003,2012,2014,2018,2019,2020,2027,2028,2032,1002,1010,1023,1026,2002,2010,2023,2026,1008,1025,1029,1031,2008,2025,2029,2031,1015,1030,2015,2030
295,1.0981e+05,19651,86266,37363,63273,1.6585e+05,51934,50014,50974,64826,62950,63888,21395,6614,5714,2755,5162,1931,3183,10682,19249,637,5655,5645,3642,4384,2168,4141,11007,16731,512,2052,2177,2976,2353,2755,2130,3065,2143,11040,10013,10713,10621,12764,9695,13280,8140,9673,10057,8619,9014
413,1.2172e+05,17279,87682,40578,66815,1.4848e+05,43245,41417,42331,53999,52348,53174,19317,6101,7057,3217,4030,1805,2802,13452,20524,610,5756,7119,5625,3339,2698,2798,15121,18887,780,1913,1691,3146,2091,2190,2235,3002,1011,10789,7463,15619,10179,12782,8710,13195,8945,9011,9853,10986,10728
685,98253,15186,63884,32719,52510,1.5506e+05,45625,47495,46560,58487,59473,58980,20182,4640,5645,3249,3073,1499,2842,9816,16726,492,4747,5303,3463,2588,1785,3322,11498,16901,664,2193,1828,2686,1752,1346,1773,2518,1090,6617,6781,8969,8133,10393,6316,9887,6788,7176,7381,10273,7889
729,99677,13459,70607,33523,54316,1.5837e+05,44906,46327,45616,54268,55984,55126,18347,4297,5370,3739,2591,1820,2326,9647,18844,547,4783,5144,3748,3009,1448,2911,10619,18226,608,1396,1484,2286,1859,1796,1206,2177,1255,10373,6520,8797,7915,11880,6268,10151,8703,7518,9200,8458,8347
1155,1.2352e+05,19229,90275,46250,69818,1.8972e+05,53055,53319,53187,66066,65343,65704,22425,5959,6442,3636,3996,1536,2840,15516,20695,976,5131,6376,4681,3254,2198,3012,16151,20120,997,1432,1726,3905,2311,2086,2098,3506,2165,11704,9166,12716,8761,17861,8534,11919,9614,10475,12215,11132,12428
1261,1.1001e+05,17240,75413,37210,59968,1.5893e+05,48797,47637,48217,61790,60165,60978,18643,5526,6561,2985,3825,1673,3042,12831,16899,423,6668,5991,3183,2923,2169,2100,13456,18909,845,2245,1809,2758,1845,2027,1907,2773,1876,9391,7316,12083,8436,11276,7596,11117,8198,8680,8280,11175,9075
1268,1.0696e+05,14926,71452,37705,57760,1.3362e+05,46193,48490,47342,58347,60468,59408,21563,4528,6898,3444,3512,2053,2837,12388,17752,514,4705,5771,3306,2785,2275,3307,13938,16393,551,912,2527,2497,1572,1540,1818,2383,1677,10042,7079,8125,9214,12483,7223,9235,8051,8398,8627,10991,9689
1280,1.0015e+05,16153,82345,36183,58707,1.3928e+05,41210,42537,41874,54316,55643,54980,19284,5055,5859,3309,3944,2049,2770,9619,17840,530,3636,5772,3749,2736,1950,2912,11795,15832,789,1145,1888,2760,1579,2127,2273,2816,1565,10486,9178,11959,9579,11192,7948,11596,10407,8567,9539,8621,9456
2010,1.1473e+05,17449,73984,43878,62510,1.1792e+05,50968,51287,51128,62830,64484,63657,17339,6493,6780,2810,4770,1656,2476,12377,19552,291,5029,6380,3335,3247,2259,3344,12878,20349,705,1378,2203,2838,1895,1916,2085,3632,1502,8859,7250,9721,9462,13483,7453,9675,8081,9590,12336,10515,11437
2043,1.1333e+05,17162,81008,39515,62755,1.5828e+05,46235,45274,45754,60853,60269,60561,19443,5201,6265,3529,3610,1517,2742,12661,19987,602,5019,5440,3784,3131,2174,3301,13552,19966,853,1721,2292,2449,1936,1860,1804,3408,1692,10719,8854,9990,9723,12269,8274,11233,9946,9288,10666,9834,9727
2073,1.1305e+05,18722,84970,41808,64638,1.7826e+05,46644,45072,45858,60835,59809,60322,19614,4981,6693,3244,3252,1741,2528,12979,19927,567,4673,6671,4349,3133,2515,2553,14435,17830,980,2217,2077,2488,2429,2529,1654,3276,2052,9850,9562,10565,12603,13203,8801,11348,9038,9486,9930,11502,10890
4171,1.054e+05,16566,71796,32797,56641,1.6754e+05,42030,43414,42722,53081,54991,54036,20382,6234,6241,3503,3669,1475,1964,10627,17856,400,5884,6036,3872,2566,2323,3266,10489,18321,678,1529,1784,3031,1702,1621,2208,3250,1441,7358,7169,10734,7869,10588,8378,11246,8454,6566,8570,9269,8392
4213,1.0836e+05,17926,76118,34637,59260,1.4363e+05,43283,45677,44480,54172,56020,55096,18357,6322,6563,2879,4851,1487,3683,11987,16708,466,4209,5855,3627,2150,1975,2675,14021,18173,727,1948,2268,2635,2304,1824,2614,2568,1765,9826,8918,12106,7268,10557,9204,10746,7493,8825,8858,9543,7411
4219,99640,18328,71197,35703,56217,1.4079e+05,45777,47008,46392,57961,58477,58219,18453,5255,6846,3499,3256,1751,2960,9635,16789,547,4914,5851,4164,2985,1835,2127,11355,15239,632,2229,2128,3495,1973,1981,2213,2776,1533,9821,5617,11171,9357,9883,6814,10675,7859,7654,9670,9514,8865
4225,1.3526e+05,22166,92939,56655,76754,2.2283e+05,55415,54281,54848,72228,71320,71774,25030,6489,8575,4388,4340,2219,3163,14067,22921,519,7308,8480,5597,4264,2723,3075,14330,22024,774,1903,3122,3676,2918,2219,2155,4233,1940,12816,9958,12803,10420,12389,9377,14665,10511,14214,13666,15060,13715
4229,1.1044e+05,16185,77189,40221,61008,1.548e+05,50666,52121,51394,65264,66632,65948,20147,6118,6856,3605,3839,1761,1930,10892,18155,441,5903,6350,3200,3301,2282,2783,12572,19557,890,1428,1469,2659,2566,1710,1352,3422,1579,11575,8217,11135,7324,12267,8022,10912,7737,11466,9099,9837,9819
4237,1.2201e+05,17887,79297,39697,64722,76376,52178,48639,50408,63713,60552,62132,17641,6829,7501,4932,4326,2026,2734,13521,18588,736,5020,7135,4136,4209,2294,3837,11764,21518,903,1726,1966,2723,2413,1715,1700,3365,2279,9650,7870,11269,9044,12193,8186,12512,8573,8181,10109,10623,10784
4251,1.1604e+05,20034,72321,42667,62766,1.6473e+05,54560,54324,54442,68809,67220,68014,20152,5419,6774,3291,4158,1901,4172,11809,18220,593,7369,6901,4198,3117,2296,3378,12673,18830,941,2708,2400,3929,2495,1968,2054,3007,1473,8090,7180,11138,7948,12035,7204,9738,8988,9945,11342,10911,10469
4262,1.0516e+05,15662,70855,40055,57932,1.3264e+05,46251,47091,46671,55751,56845,56298,19233,5974,5933,3497,4151,1627,2515,11472,17601,540,5417,5556,3846,2636,2086,2864,10805,17675,961,1701,1890,2489,1824,1881,1978,2712,1187,9628,7562,9512,8220,10731,7326,10586,7290,9746,10193,10117,9999
4270,1.0047e+05,17293,74756,36767,57322,1.9971e+05,43792,44577,44184,56938,57004,56971,19536,5639,5883,2596,3851,1986,3630,10562,15272,561,3713,5996,3309,2401,2087,3281,13224,15766,715,1592,1466,3131,1981,2270,1685,3276,1892,9724,6902,11277,8556,10215,7125,12058,8899,8703,9430,9263,9371
4447,1.0129e+05,15416,71920,38044,56668,1.7657e+05,41667,41231,41449,55486,55069,55278,19110,4867,5593,3021,3634,1442,2275,12064,16570,589,4598,6268,3688,3166,2034,2659,11314,16615,895,1180,2009,2641,2005,1702,2119,2758,1002,9740,6595,10685,8106,12862,7234,9544,7154,9393,10090,9059,9502
4473,1.4117e+05,22081,93193,47399,75961,1.3494e+05,54648,58042,56345,68962,71639,70300,21221,7480,8044,5100,5120,1672,3208,15926,24520,753,5988,7849,4269,4749,2223,3598,16289,23619,764,2302,2958,3463,2898,2502,2572,3349,2037,13611,9075,11518,9954,15992,9760,13408,9875,11335,12947,11434,11683
4521,1.2219e+05,18526,78842,41538,65274,1.8327e+05,50685,51226,50956,65905,65784,65844,21875,4965,7757,4329,3581,2188,2670,17132,18088,753,6499,6720,3963,6354,2614,3488,12362,17929,796,1734,1807,2857,1962,2510,2559,3214,1883,8564,7962,12400,9306,12633,7472,11721,8784,9288,9784,12024,10442
4654,1.2158e+05,19833,84526,39430,66343,2.0196e+05,49404,50333,49868,66336,66835,66586,23665,7691,6709,3636,3866,1353,2746,12037,22616,595,6701,6520,3518,3500,2323,3013,13349,20703,708,1709,2413,4143,1991,2082,2721,2734,2040,10653,7522,12290,10114,13559,9614,11860,8914,10735,9508,9030,10157
4746,1.0521e+05,16016,72267,42634,59031,2.0034e+05,50927,51850,51388,65078,67188,66133,23485,4596,5636,3829,4074,2083,3098,12113,17089,666,4490,5150,3492,2835,1951,2728,15024,15723,630,1514,1616,2443,2106,2009,1837,2644,1847,9447,6432,11070,8627,10949,6280,11088,8374,10510,10811,10424,10889
4799,1.3252e+05,21804,91345,49138,73700,2.1054e+05,51850,50855,51352,65020,63068,64044,20289,5473,7109,3714,4217,2475,3286,18263,22378,494,4833,7228,3895,5042,3100,3516,17062,19678,752,1540,2756,3499,2188,3085,2899,3886,1951,12203,9681,11988,11065,14320,9293,12916,9879,12902,13646,10983,11607
5018,1.1524e+05,16420,76154,36492,61076,1.7197e+05,59591,60563,60077,73325,74382,73854,20587,5243,7204,3564,4897,1993,2980,11707,18018,706,5717,6359,4434,3637,2033,3294,14210,18595,645,1385,1731,2632,2728,1651,1766,2965,1562,7850,7015,9506,9422,14486,7884,11601,8390,7710,9476,9840,9466
5178,1.1544e+05,16071,80533,40561,63151,1.9313e+05,50794,51986,51390,64479,65989,65234,21123,6421,7015,3697,4001,1899,2354,12270,20357,567,4258,6527,4098,3515,2221,2786,11755,20985,712,1388,1612,2707,1899,2052,1838,3234,1341,10628,8539,12257,8026,12262,8724,11117,8980,8609,10147,11269,10536
5230,1.1413e+05,19494,72088,41020,61684,1.1651e+05,51484,48555,50020,65499,62073,63786,19598,5588,6014,3328,4128,1853,2654,12145,19405,531,6566,6043,4012,3058,2349,2868,12026,20999,566,1939,2437,3606,2482,2052,1591,3494,1893,8042,7863,10087,10479,10704,7272,10139,7502,8701,10962,10595,10762
5256,99626,15664,76647,39069,57752,1.8724e+05,46376,46031,46204,57488,57375,57432,19267,4782,6202,2605,4317,1774,2348,9993,17121,455,5072,5866,3309,4016,2086,2256,10936,15868,620,1480,1634,2649,1912,1891,1366,2891,1841,11672,7459,9998,9312,12313,6517,9452,9924,8796,10138,9973,10162
907,88602,15427,61435,30095,48890,1.1985e+05,44324,45020,44672,55495,55564,55530,18985,5286,4970,3080,3307,1265,2147,9392,14698,462,4266,4999,2910,2935,1408,2798,10051,13965,663,1967,1456,2345,2369,1553,1600,2392,1745,8865,5964,8614,7145,9060,6248,8084,7455,5683,8469,7681,8262
908,1.0245e+05,16738,77150,32998,57333,1.9745e+05,51369,51983,51676,67162,67691,67426,22300,4882,5690,2839,4409,1358,3033,10914,17588,637,4902,6060,3572,2816,1838,3558,10571,17204,576,1463,2330,2810,2043,1676,2000,2998,1418,11248,6873,10475,8372,13389,8293,10533,7967,9368,7036,9486,7108
981,89613,15554,62132,30838,49534,1.3604e+05,40822,41392,41107,50626,51807,51216,18423,4265,5258,3326,3139,1454,2451,10300,14935,496,3573,5073,3222,1816,2207,2481,10167,14672,778,1662,1777,2240,2002,2131,1661,2320,1761,9015,5612,8377,7391,10344,6223,8540,6630,7642,7915,7616,7665
1057,1.0997e+05,16384,66879,39162,58099,1.4636e+05,44675,44010,44342,57682,56519,57100,18483,4696,5855,3575,4757,1984,3919,9984,18236,577,4299,6071,3066,3611,2613,3536,13584,18798,811,1828,1864,3337,1909,1745,1851,2580,1270,8110,7493,8907,8999,10222,7119,8380,7649,10306,10832,9030,8994
1074,1.1658e+05,15803,76921,36689,61498,1.5057e+05,43153,45522,44338,55115,57590,56352,19856,6236,7366,3935,3556,2101,2422,13134,18810,560,6209,5586,4123,3406,2159,4748,13522,17688,1020,1482,1826,2502,1781,1883,1858,2741,1730,9850,7080,11877,8859,12003,8219,10553,8480,7800,9669,8662,10558
