0,3000,3001,3002,3003,3004,4000,8,47,5003,5001,5002,5000,16,12,51,11,50,13,52,1003,1012,1014,1018,1019,1020,1027,1028,1032,2003,2012,2014,2018,2019,2020,2027,2028,2032,1002,1010,1023,1026,2002,2010,2023,2026,1008,1025,1029,1031,2008,2025,2029,2031,1015,1030,2015,2030
6315,124055,21605,88463,44379,69625.5,228639,55545,56279,55912,70018,69915,69966.5,22919,5085,4723,3387,3340,1892,1690,6901,6945,3904,3702,2242,2439,13746,21334,719,8577,6828,4619,3497,2276,2991,12686,19527,1122,1654,2314,3663,3144,2894,2045,3662,2229,12909,7538,12587,9887,14360,9012,12488,9682,11422,10266,12633,10058
7721,120784,17074,83031,41989,65719.5,155825,49329,51921,50625,61032,62876,61954,21087,5437,5565,4764,4793,1733,1310,5265,8105,3909,4976,2341,4053,11709,20312,465,4691,7337,4770,3146,1976,4379,13204,19374,772,1316,2165,2888,2654,1387,1718,2747,2199,12513,8570,11333,9970,11594,7973,10726,10352,9696,11433,10496,10364
8319,124110,20781,86369,46859,69529.75,185920,50508,49989,50248.5,62161,61585,61873,21278,5626,4466,3986,3868,1742,1602,6261,6918,3990,3676,2091,2855,14589,21814,867,5087,6497,4134,4090,2680,3231,14214,19810,1306,2452,2128,3500,2523,2432,2356,3057,2333,12291,8778,11259,9749,13949,8282,12185,9876,11875,11534,12730,10720
11813,115891,19054,89324,42447,66679,206324,49698,54584,52141,65287,70259,67773,21075,5063,5055,2934,3987,1372,1488,6466,7147,3842,3049,1590,2134,12169,19517,622,4566,6983,4515,3214,2366,3698,14926,18266,821,2115,2317,3016,2532,2018,2026,3409,1621,10379,8971,13268,11393,13431,9088,12813,9981,9507,9808,12716,10416
12310,110545,17484,81014,44112,63288.75,176584,42869,47944,45406.5,53258,59075,56166.5,18492,5249,5041,3431,3528,1608,1486,5362,6609,3294,3414,2228,3231,12768,18255,575,3533,6179,3546,2890,1990,3025,14607,17700,1339,1088,2418,2580,1745,2441,1740,3821,1651,9931,7769,9725,9535,15310,7664,12571,8509,10902,10436,12411,10363
13009,125533,19902,98168,43006,71652.25,165011,50779,53524,52151.5,61945,65401,63673,21589,6560,5713,4102,4354,1628,1609,6562,7512,4077,4620,1539,2737,14094,23350,490,4800,6520,4415,3137,2505,4001,13287,21126,761,1389,2206,3109,2326,2656,2162,3740,2314,12444,9980,14328,12403,15627,8634,13323,11429,9985,12560,10911,9550
13413,108962,15433,80251,39221,60966.75,119753,55747,54442,55094.5,67708,66351,67029.5,20008,5861,5631,4318,4270,1617,1338,4037,6911,3295,4911,1670,2305,12596,18695,734,3674,6392,4087,4197,1561,3844,11131,18243,679,1542,1818,3005,1573,1223,2209,2346,1717,10320,7865,10379,10262,12632,8174,10698,9921,10716,10124,10189,8192
13716,123900,17475,96286,42383,70011,209335,53502,59317,56409.5,67126,73798,70462,22220,5906,5435,4342,4413,1761,1719,5213,6449,4007,4932,1749,2815,15688,21250,687,5802,6689,3698,4120,2058,3194,15610,19182,757,905,2331,2858,2318,1872,1906,3362,1923,13245,10255,14308,12150,13406,9316,12559,11047,9933,11203,11375,9872
14011,117869,16275,80892,44913,64987.25,188951,59645,59335,59490,75131,73977,74554,22207,5444,5147,4048,4042,1563,1282,6668,7058,4186,4111,2279,3128,12592,19964,610,4169,6074,3515,3312,2728,3954,14503,18018,1000,1540,2281,2552,2231,1501,2102,2609,1459,11121,7815,10709,9939,11899,9010,11373,9026,10663,12125,12480,9645
15114,117826,18210,82051,46721,66202,194355,52767,53937,53352,66648,67318,66983,21934,7280,6272,3563,3621,1902,1770,6080,6915,3983,3918,1893,2403,14636,18358,711,6946,6874,3964,2012,1650,2830,15839,17824,990,2098,1946,3984,2306,1082,2683,2444,1667,11401,8514,10838,9553,12725,9400,10236,9384,11410,10925,13091,11295
15619,107563,18786,76536,39674,60639.75,170831,48832,48951,48891.5,60956,59801,60378.5,20733,4987,4283,3849,3873,1655,1463,5201,6923,3442,3753,1859,2460,11455,17454,654,4802,6605,3830,3246,1787,2581,13032,17864,615,2468,1958,3128,2597,2143,1797,2859,1836,9910,7562,10723,8578,11592,8888,11059,8224,10206,9139,10854,9475
16722,106676,12579,83550,46798,62400.75,118075,46049,48581,47315,56816,59346,58081,18294,6720,6086,4264,4087,1691,1571,4280,6558,3881,3927,1707,3333,10984,19698,720,4798,5778,3345,3301,2174,3394,10628,17099,1071,587,2008,2188,1132,1287,2045,2360,972,9058,7773,11054,12018,12577,8714,12321,10035,10469,12389,13283,10657
17017,118880,20454,81513,45058,66476.25,184302,52002,54344,53173,63618,65328,64473,19375,5198,5059,3501,3465,1565,1312,5792,7059,4183,3565,2194,3008,13198,21474,808,4586,6503,5227,3586,2689,3305,11970,18687,1046,1777,2299,2988,2791,2968,1988,3548,2095,9178,8923,11612,11077,12044,8199,11373,9107,9741,12684,11898,10735
17522,121530,18661,84614,46055,67715,191234,58477,60024,59250.5,73006,74447,73726.5,21578,6316,5944,3533,3666,1592,1636,4278,5748,3910,3788,1928,3836,14073,21614,981,5983,6054,4299,3747,2260,4053,13819,20487,672,1591,1686,3420,2047,2257,2440,3251,1969,13074,7635,10654,8636,14734,8300,12090,9491,10984,9769,13186,12116
19526,133314,18442,86140,47394,71322.5,238607,57975,57540,57757.5,71183,70863,71023,22975,5566,4718,3284,3049,1656,1685,6002,6902,4094,4273,2199,3559,16844,22723,507,5783,6291,3511,4209,2529,4134,15644,23491,619,1146,2752,2629,2075,1618,3067,3333,1822,10446,8252,12142,10709,14144,9251,11219,9977,11588,13101,11591,11114
20006,97613,13455,65788,35826,53170.5,145369,44902,45032,44967,56096,56574,56335,21585,5509,4522,3349,3393,1598,1511,4167,5350,3553,3664,1563,3478,9508,14615,485,5379,5183,3821,3554,1877,2592,11372,16568,884,1246,1843,2483,1454,1313,1953,2168,995,8151,6920,10936,9286,10066,7439,5931,7059,9625,8562,8414,9225
23113,111435,13911,81677,41718,62185.25,146947,53149,53825,53487,63355,64566,63960.5,17205,4542,4275,3179,2830,1300,1407,7389,5705,3542,3872,2216,3234,11722,16632,669,5241,5373,4046,2855,2035,4088,13462,18575,779,1852,1797,2570,2184,869,1738,1966,935,9747,8154,12405,10209,11929,9517,11570,8146,9319,12136,10516,9747
25622,102609,14144,82019,40028,59700,158455,41129,39749,40439,51149,49438,50293.5,16521,4513,3873,3103,3180,1675,1409,6065,5932,3109,5414,1332,2643,10434,17326,552,4507,4864,3384,3873,1899,3432,11035,15856,952,822,2121,2512,1904,1178,1907,2427,1273,11282,8322,11243,9741,12504,7899,12403,8625,10192,9608,11979,8249
