0,2,4,5,7,8,10,11,12,13,14,15,16,17,18,24,26,28,30,31,41,43,44,46,47,49,50,51,52,53,54,58,60,62,63,72,77,80,85,251,252,253,254,255,1000,1001,1002,1003,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,2000,2001,2002,2003,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
1155,234089,21088,904,13425,48984,7004,3967,5195,1350,1404,1545,20746,4097,1366,1368,503,3627,144,1840,235636,23859,569,12476,49265,6468,3832,4783,1295,4240,1291,519,3535,246,2615,0,3979,38,270,835,381,358,386,829,485,2246,1388,5662,2362,1895,10567,9890,11183,1777,9485,6387,4902,4674,10109,1589,3012,3762,1637,2700,1563,8197,3291,10984,8263,2310,14211,18896,12465,11570,8618,763,2728,1250,6322,387,1947,1957,4804,2227,1559,9049,15629,10576,2202,8770,6199,5090,4566,10485,1661,3538,3005,2218,2853,1382,6249,3060,10803,8189,2434,12954,18858,11242,11561,9206,936,2130,728,6125
1280,190902,11632,322,13513,40724,6575,3981,5325,1442,1226,1497,19255,3640,1444,1463,326,3295,15,1735,197470,11254,470,13207,41723,5858,3969,5023,1383,3638,1501,432,3349,42,2161,0,5337,32,111,907,335,350,292,594,633,1946,1318,3958,2018,1803,7299,9812,8373,2141,9117,6085,3555,3514,8067,2099,2994,3662,2090,2870,1355,8261,2459,11291,8626,1937,11080,17787,12108,9637,9374,590,1922,1215,5661,440,1523,2237,3424,2254,1382,8039,10835,7950,2177,9390,6058,4331,4171,8950,1826,2555,2824,2076,3452,1470,8630,2444,11178,8106,2042,11251,16411,11683,9334,10278,840,1940,903,5284
2073,220914,10530,138,14014,45399,6483,3520,4609,1408,1086,1591,19692,4238,1579,1353,539,3714,22,1454,219938,9065,123,14662,44764,6201,3521,4592,1275,4069,1655,551,3719,83,1750,4,1796,27,176,883,315,334,315,672,789,2773,2350,4831,2653,2897,9452,10894,12803,2194,12181,6578,7168,3175,8546,2173,4298,3163,1772,2702,1951,9715,2221,14442,9678,2918,14356,21006,11603,11270,11506,766,3441,979,5732,425,1716,2873,5012,2740,2737,9595,13602,11595,1641,11581,6586,6761,4544,11952,2128,4429,3302,2507,2780,2168,8456,3086,13930,9131,2466,15547,19028,12531,11547,9256,1205,2685,764,5935
1074,201308,17364,1538,10409,40717,5511,3718,4351,1487,1890,604,19095,2153,799,1017,379,3070,214,2353,205825,14408,1173,10865,43089,5575,4015,4280,1442,2336,1010,377,3198,121,2995,0,11046,97,208,876,307,336,356,805,314,1816,1701,5047,2222,1100,9219,8395,9425,1990,8557,6680,3838,4077,7574,1796,2753,3247,2376,2376,1274,7180,2293,9524,6426,2161,12990,17720,10757,9685,8088,626,1949,1107,6260,299,2095,1726,5571,2493,984,7986,10908,8124,1926,8042,6008,4916,4115,8183,1172,2962,3005,2096,4384,1481,6998,2550,9125,7887,2045,12692,16957,9251,10452,7107,841,1503,749,5452
1122,163888,11207,373,7480,33778,5263,2767,4564,1186,862,1069,15519,3686,954,997,332,2562,31,1952,165163,10222,312,7919,35138,5192,3015,3857,1186,3585,934,345,2536,23,2577,0,1965,45,249,893,268,310,323,587,469,1905,1244,3147,1666,1315,5727,7974,7816,1817,5988,5136,3411,3747,6981,1318,1678,2783,1799,1982,1054,6420,1698,8714,5876,1481,9909,14724,7526,7802,6378,667,1889,918,5087,444,1774,1732,3163,1516,1381,5423,10407,7173,1552,5429,4752,3597,3485,7738,1206,2413,2280,1749,2447,1115,5899,1777,8926,6180,1901,9691,13633,7690,7186,6575,853,2079,696,5573
602,238614,11052,699,11679,47214,6501,3510,5410,1491,2322,2066,23095,3920,1435,1194,412,3891,63,2114,234674,9880,770,12699,48401,6339,3620,4703,1484,3975,1524,462,3749,49,2489,0,6802,73,241,879,370,343,328,702,629,2365,1019,5000,1673,1538,9591,10410,9882,1974,7737,6285,4606,4390,9705,1996,2901,3181,1543,2573,1336,7246,2775,10546,8170,2565,11459,17600,9594,8344,9210,661,2500,731,5849,543,1873,1851,4268,1787,1428,8576,11863,7907,2304,7847,5784,4775,3709,10790,1879,3454,2539,1978,2537,1580,6532,2461,9692,7705,2025,12785,16472,10267,9662,7722,860,2080,607,5898
610,203187,25472,1773,10227,40371,5756,5132,5407,1396,2902,2661,18584,2647,1057,1750,275,3150,143,1548,212924,27571,1637,10829,40541,5365,4691,5417,1475,2705,1071,326,3027,268,2658,0,6141,203,308,804,251,303,245,623,417,1988,942,3425,1707,2150,6639,8679,9474,2020,7733,5974,4455,3955,7397,2507,2276,3649,1747,2365,1292,5874,2066,7048,6189,1973,11226,14293,8043,10978,7260,718,2577,648,6788,405,1485,2267,4280,2368,1962,7320,10255,7533,1395,8825,5934,5125,4166,9132,1913,2475,2128,1869,2752,1608,5526,2572,7743,6437,2105,10809,13098,7562,10314,7703,552,2192,532,6594
842,231502,22604,1186,13828,53758,7134,3827,5234,1543,3031,2008,22951,3575,1302,888,428,3915,152,2031,232685,14502,528,12955,55790,6808,4044,4797,1614,3820,1696,375,3815,137,3125,0,3219,63,257,1061,392,338,311,830,480,2975,1580,5413,2850,2693,10791,12827,10489,2747,10031,6608,5467,4551,11031,2265,2616,3233,2193,3203,1702,8543,2592,11736,7990,2251,13806,19330,12114,10462,10482,768,2895,1092,6929,418,3377,1208,4250,2497,1661,8433,13050,9942,2537,9946,6687,5427,4100,12280,1997,3429,3105,2637,4238,2245,7001,2260,11842,9177,1323,14198,20133,12841,11351,10949,1051,2469,838,6736
1030,268284,19350,656,15309,52508,8825,3761,4533,1552,2339,1414,26116,4166,1358,1643,478,4009,136,2164,271538,36655,1486,16865,53955,7165,3750,4399,1714,3639,1271,415,3948,72,2848,0,6304,47,472,995,338,369,427,710,388,1967,1858,5076,2635,1907,5866,7449,8929,2407,8245,7578,4762,5703,8128,1768,3604,3691,2344,2690,2019,7374,2938,11887,9373,3091,14243,19737,9886,10273,7538,783,2193,1093,6619,421,1525,1839,4981,2124,1511,5156,8598,6885,1986,5914,6625,5240,4801,7426,1155,4466,3239,2382,3590,2135,6085,2253,9406,7603,2030,13811,18225,7740,8033,5372,924,2144,518,7409
